1;26;1
2;24;1.9676e-06
3;8;5.1882e-07
4;29;3.4094e-07
5;9;3.2486e-07
6;30;1.2225e-07
7;28;7.1582e-08
8;4;1.3256e-09
9;1;9.7396e-11
10;23;2.2947e-11
11;14;4.7272e-12
12;13;1.093e-12
13;12;3.0103e-13
14;18;2.3753e-13
15;11;1.8592e-13
16;20;1.2489e-13
17;19;9.5392e-14
18;22;9.1102e-14
19;16;8.6635e-14
20;15;7.1714e-14
21;21;5.2953e-14
22;7;2.0778e-14
23;33;1.773e-14
24;34;9.3428e-15
25;6;9.1981e-15
26;5;7.8287e-15
27;2;1.3592e-15
28;10;1.171e-15
29;17;2.1806e-16
30;25;1.0865e-16
31;32;7.9836e-17
32;3;2.7774e-17
33;27;1.7669e-17
34;31;5.3384e-21
